time,lin_vel,ang_vel,distance,theta
0.000000,0.100000,-0.350877,0.001000,-0.003509
0.010000,0.100995,-0.347351,0.001010,-0.003474
0.020000,0.101980,-0.343790,0.001020,-0.003438
0.030000,0.102955,-0.340195,0.001030,-0.003402
0.040000,0.103919,-0.336565,0.001039,-0.003366
0.050000,0.104873,-0.332902,0.001049,-0.003329
0.060000,0.105816,-0.329206,0.001058,-0.003292
0.070000,0.106749,-0.325477,0.001067,-0.003255
0.080000,0.107672,-0.321715,0.001077,-0.003217
0.090000,0.108583,-0.317921,0.001086,-0.003179
0.100000,0.109484,-0.314095,0.001095,-0.003141
0.110000,0.110373,-0.310238,0.001104,-0.003102
0.120000,0.111252,-0.306350,0.001113,-0.003063
0.130000,0.112120,-0.302431,0.001121,-0.003024
0.140000,0.112976,-0.298482,0.001130,-0.002985
0.150000,0.113821,-0.294503,0.001138,-0.002945
0.160000,0.114655,-0.290494,0.001147,-0.002905
0.170000,0.115477,-0.286457,0.001155,-0.002865
0.180000,0.116287,-0.282391,0.001163,-0.002824
0.190000,0.117086,-0.278297,0.001171,-0.002783
0.200000,0.117874,-0.274174,0.001179,-0.002742
0.210000,0.118649,-0.270025,0.001186,-0.002700
0.220000,0.119413,-0.265848,0.001194,-0.002658
0.230000,0.120164,-0.261645,0.001202,-0.002616
0.240000,0.120904,-0.257416,0.001209,-0.002574
0.250000,0.121632,-0.253161,0.001216,-0.002532
0.260000,0.122347,-0.248881,0.001223,-0.002489
0.270000,0.123050,-0.244575,0.001231,-0.002446
0.280000,0.123741,-0.240246,0.001237,-0.002402
0.290000,0.124420,-0.235892,0.001244,-0.002359
0.300000,0.125086,-0.231514,0.001251,-0.002315
0.310000,0.125739,-0.227114,0.001257,-0.002271
0.320000,0.126380,-0.222691,0.001264,-0.002227
0.330000,0.127009,-0.218245,0.001270,-0.002182
0.340000,0.127624,-0.213778,0.001276,-0.002138
0.350000,0.128227,-0.209289,0.001282,-0.002093
0.360000,0.128817,-0.204780,0.001288,-0.002048
0.370000,0.129394,-0.200250,0.001294,-0.002002
0.380000,0.129959,-0.195700,0.001300,-0.001957
0.390000,0.130510,-0.191130,0.001305,-0.001911
0.400000,0.131048,-0.186541,0.001310,-0.001865
0.410000,0.131573,-0.181934,0.001316,-0.001819
0.420000,0.132085,-0.177308,0.001321,-0.001773
0.430000,0.132584,-0.172665,0.001326,-0.001727
0.440000,0.133069,-0.168004,0.001331,-0.001680
0.450000,0.133541,-0.163327,0.001335,-0.001633
0.460000,0.134000,-0.158633,0.001340,-0.001586
0.470000,0.134445,-0.153924,0.001344,-0.001539
0.480000,0.134877,-0.149199,0.001349,-0.001492
0.490000,0.135296,-0.144459,0.001353,-0.001445
0.500000,0.135701,-0.139704,0.001357,-0.001397
0.510000,0.136092,-0.134936,0.001361,-0.001349
0.520000,0.136470,-0.130154,0.001365,-0.001302
0.530000,0.136834,-0.125359,0.001368,-0.001254
0.540000,0.137184,-0.120552,0.001372,-0.001206
0.550000,0.137521,-0.115732,0.001375,-0.001157
0.560000,0.137844,-0.110901,0.001378,-0.001109
0.570000,0.138153,-0.106059,0.001382,-0.001061
0.580000,0.138449,-0.101207,0.001384,-0.001012
0.590000,0.138730,-0.096344,0.001387,-0.000963
0.600000,0.138998,-0.091471,0.001390,-0.000915
0.610000,0.139252,-0.086590,0.001393,-0.000866
0.620000,0.139491,-0.081699,0.001395,-0.000817
0.630000,0.139717,-0.076801,0.001397,-0.000768
0.640000,0.139929,-0.071895,0.001399,-0.000719
0.650000,0.140127,-0.066982,0.001401,-0.000670
0.660000,0.140311,-0.062062,0.001403,-0.000621
0.670000,0.140481,-0.057135,0.001405,-0.000571
0.680000,0.140637,-0.052203,0.001406,-0.000522
0.690000,0.140778,-0.047266,0.001408,-0.000473
0.700000,0.140906,-0.042324,0.001409,-0.000423
0.710000,0.141020,-0.037378,0.001410,-0.000374
0.720000,0.141119,-0.032428,0.001411,-0.000324
0.730000,0.141204,-0.027475,0.001412,-0.000275
0.740000,0.141276,-0.022520,0.001413,-0.000225
0.750000,0.141333,-0.017561,0.001413,-0.000176
0.760000,0.141376,-0.012602,0.001414,-0.000126
0.770000,0.141405,-0.007641,0.001414,-0.000076
0.780000,0.141419,-0.002679,0.001414,-0.000027
0.790000,0.141420,0.002283,0.001414,0.000023
0.800000,0.141406,0.007245,0.001414,0.000072
0.810000,0.141379,0.012207,0.001414,0.000122
0.820000,0.141337,0.017167,0.001413,0.000172
0.830000,0.141281,0.022125,0.001413,0.000221
0.840000,0.141211,0.027081,0.001412,0.000271
0.850000,0.141126,0.032034,0.001411,0.000320
0.860000,0.141028,0.036984,0.001410,0.000370
0.870000,0.140916,0.041931,0.001409,0.000419
0.880000,0.140789,0.046873,0.001408,0.000469
0.890000,0.140648,0.051810,0.001406,0.000518
0.900000,0.140494,0.056743,0.001405,0.000567
0.910000,0.140325,0.061669,0.001403,0.000617
0.920000,0.140142,0.066590,0.001401,0.000666
0.930000,0.139945,0.071504,0.001399,0.000715
0.940000,0.139735,0.076411,0.001397,0.000764
0.950000,0.139510,0.081310,0.001395,0.000813
0.960000,0.139271,0.086201,0.001393,0.000862
0.970000,0.139019,0.091083,0.001390,0.000911
0.980000,0.138752,0.095956,0.001388,0.000960
0.990000,0.138472,0.100820,0.001385,0.001008
1.000000,0.138177,0.105673,0.001382,0.001057
1.010000,0.137869,0.110516,0.001379,0.001105
1.020000,0.137547,0.115348,0.001375,0.001153
1.030000,0.137212,0.120168,0.001372,0.001202
1.040000,0.136862,0.124977,0.001369,0.001250
1.050000,0.136499,0.129773,0.001365,0.001298
1.060000,0.136123,0.134556,0.001361,0.001346
1.070000,0.135732,0.139325,0.001357,0.001393
1.080000,0.135329,0.144081,0.001353,0.001441
1.090000,0.134911,0.148822,0.001349,0.001488
1.100000,0.134480,0.153548,0.001345,0.001535
1.110000,0.134036,0.158259,0.001340,0.001583
1.120000,0.133578,0.162954,0.001336,0.001630
1.130000,0.133107,0.167632,0.001331,0.001676
1.140000,0.132623,0.172294,0.001326,0.001723
1.150000,0.132125,0.176939,0.001321,0.001769
1.160000,0.131614,0.181566,0.001316,0.001816
1.170000,0.131090,0.186175,0.001311,0.001862
1.180000,0.130553,0.190765,0.001306,0.001908
