time,lin_vel,ang_vel,distance,theta
0.000000,0.475607,0.000000,0.004756,0.000000
0.010000,0.282636,0.019995,0.002826,0.000200
0.020000,0.636858,0.039957,0.006369,0.000400
0.030000,0.284962,0.059856,0.002850,0.000599
0.040000,0.506654,0.079659,0.005067,0.000797
0.050000,0.648967,0.099335,0.006490,0.000993
0.060000,0.506721,0.118851,0.005067,0.001189
0.070000,0.394673,0.138178,0.003947,0.001382
0.080000,0.592506,0.157283,0.005925,0.001573
0.090000,0.540140,0.176137,0.005401,0.001761
0.100000,0.924935,0.194709,0.009249,0.001947
0.110000,0.574344,0.212970,0.005743,0.002130
0.120000,0.704193,0.230890,0.007042,0.002309
0.130000,0.656682,0.248440,0.006567,0.002484
0.140000,0.474432,0.265593,0.004744,0.002656
0.150000,0.432637,0.282321,0.004326,0.002823
0.160000,0.362569,0.298598,0.003626,0.002986
0.170000,0.761684,0.314397,0.007617,0.003144
0.180000,0.312832,0.329692,0.003128,0.003297
0.190000,-0.034473,0.344461,-0.000345,0.003445
0.200000,0.345452,0.358678,0.003455,0.003587
0.210000,0.395687,0.372322,0.003957,0.003723
0.220000,0.096942,0.385369,0.000969,0.003854
0.230000,0.510074,0.397801,0.005101,0.003978
0.240000,0.321075,0.409596,0.003211,0.004096
0.250000,0.497367,0.420735,0.004974,0.004207
0.260000,0.463064,0.431202,0.004631,0.004312
0.270000,0.364109,0.440979,0.003641,0.004410
0.280000,0.485252,0.450050,0.004853,0.004501
0.290000,0.671649,0.458402,0.006716,0.004584
0.300000,0.575382,0.466020,0.005754,0.004660
0.310000,0.350146,0.472892,0.003501,0.004729
0.320000,0.780461,0.479008,0.007805,0.004790
0.330000,0.661180,0.484358,0.006612,0.004844
0.340000,0.432954,0.488932,0.004330,0.004889
0.350000,0.634514,0.492725,0.006345,0.004927
0.360000,0.742305,0.495729,0.007423,0.004957
0.370000,0.509296,0.497940,0.005093,0.004979
0.380000,0.442977,0.499355,0.004430,0.004994
0.390000,0.730174,0.499971,0.007302,0.005000
0.400000,0.237145,0.499787,0.002371,0.004998
0.410000,0.473784,0.498803,0.004738,0.004988
0.420000,0.405808,0.497022,0.004058,0.004970
0.430000,0.514454,0.494445,0.005145,0.004944
0.440000,0.834653,0.491077,0.008347,0.004911
0.450000,0.497951,0.486924,0.004980,0.004869
0.460000,0.418878,0.481991,0.004189,0.004820
0.470000,0.436949,0.476288,0.004369,0.004763
0.480000,0.378608,0.469823,0.003786,0.004698
0.490000,0.180735,0.462606,0.001807,0.004626
0.500000,0.302376,0.454649,0.003024,0.004546
0.510000,0.659428,0.445964,0.006594,0.004460
0.520000,0.720940,0.436566,0.007209,0.004366
0.530000,0.234886,0.426470,0.002349,0.004265
0.540000,0.305650,0.415692,0.003057,0.004157
0.550000,0.813914,0.404248,0.008139,0.004042
0.560000,0.531748,0.392158,0.005317,0.003922
0.570000,0.467619,0.379440,0.004676,0.003794
0.580000,0.783635,0.366116,0.007836,0.003661
0.590000,0.101272,0.352205,0.001013,0.003522
0.600000,0.613591,0.337732,0.006136,0.003377
0.610000,0.497171,0.322717,0.004972,0.003227
0.620000,0.603120,0.307187,0.006031,0.003072
0.630000,0.260491,0.291165,0.002605,0.002912
0.640000,0.723349,0.274678,0.007233,0.002747
0.650000,0.611466,0.257751,0.006115,0.002578
0.660000,0.212856,0.240411,0.002129,0.002404
0.670000,0.477195,0.222687,0.004772,0.002227
